timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img62.txt 0.01; 
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img59.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img87.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img83.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img32.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img67.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img44.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img79.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img58.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img31.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img75.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img25.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img78.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img19.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img61.txt 0.01; 
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img66.txt 0.01; can not be verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img38.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img45.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img35.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img37.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img81.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img21.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img70.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img2.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img17.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img41.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img88.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img3.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img5.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img92.txt 0.01; can not be verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img22.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img64.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img65.txt 0.01; image not correctly classified by the network. expected label  4  classified label:  9
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img93.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img47.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img89.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img91.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img85.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img63.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img69.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img42.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img26.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img82.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img16.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img8.txt 0.01; can not be verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img4.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img10.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img27.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img76.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img11.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img18.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img23.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img28.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img77.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img50.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img0.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img60.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img49.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img30.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img43.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img9.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img12.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img68.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img55.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img20.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img29.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img46.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img56.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img6.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img86.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img51.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img96.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img36.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img57.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img54.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img24.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img33.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img99.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img74.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img40.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img53.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img95.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img34.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img39.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img13.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img7.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img52.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img48.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img15.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img14.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img73.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img80.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img71.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img90.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img98.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img94.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img84.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img1.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img97.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_100.txt ../mnist_images/img72.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img62.txt 0.01; image not correctly classified by the network. expected label  9  classified label:  4
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img59.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img87.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img83.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img32.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img67.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img44.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img79.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img58.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img31.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img75.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img25.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img78.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img19.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img61.txt 0.01; image not correctly classified by the network. expected label  8  classified label:  2
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img66.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img38.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img45.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img35.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img37.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img81.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img21.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img70.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img2.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img17.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img41.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img88.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img3.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img5.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img92.txt 0.01; image not correctly classified by the network. expected label  9  classified label:  4
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img22.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img64.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img65.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img93.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img47.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img89.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img91.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img85.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img63.txt 0.01; can not be verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img69.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img42.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img26.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img82.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img16.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img8.txt 0.01; image not correctly classified by the network. expected label  5  classified label:  6
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img4.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img10.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img27.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img76.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img11.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img18.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img23.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img28.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img77.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img50.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img0.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img60.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img49.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img30.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img43.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img9.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img12.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img68.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img55.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img20.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img29.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img46.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img56.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img6.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img86.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img51.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img96.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img36.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img57.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img54.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img24.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img33.txt 0.01; image not correctly classified by the network. expected label  4  classified label:  6
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img99.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img74.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img40.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img53.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img95.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img34.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img39.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img13.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img7.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img52.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img48.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img15.txt 0.01; can not be verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img14.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img73.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img80.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img71.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img90.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img98.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img94.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img84.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img1.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img97.txt 0.01; verified
timeout 480 python3 analyzer.py ../mnist_nets/mnist_relu_6_50.txt ../mnist_images/img72.txt 0.01; verified
